id,invitation,review,reviewer_rating,annotation_round,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,proportional_agreement,average,majority
0Lpxs4k-mgd,ICLR.cc/2021/Conference/Paper841/-/Official_Review,"This paper empirically demonstrated the effectiveness of neural networks for learning to predict different mathematical properties of dynamical systems, which achieve high accuracy on synthetic datasets generated by the authors.


Pros:
+ the paper is clearly written and easy to follow
+ the dataset seems to be carefully generated and is large.

Cons:
- The authors do not clearly state their methodology, including the concrete architecture of the transformer-based model, and the training loss for optimizing the model. As shown in the experiments, the accuracy of the proposed model is much higher than the baseline, but it is not clear what the major reason is, and why.
- As the dataset contains about 50 million samples, and only 10000 of them are held out for test and validation, which means the training dataset contains sufficient data and the result could just be overfitting. Besides, the authors do not describe clearly how they generate the dataset and what is the problem distribution. For some distribution (e.g., those with smaller variance), maybe 50 million is large enough and there won't be a generalization issue. As a well-known fact that neural network has universal approximation ability, it is not surprising that it can learn to predict the mathematical properties given enough data. It will be better if the authors could show a '#training sample VS test accuracy' curve to show how the method behaves differently given different numbers of training samples.

Overall this paper does not have enough technical contributions, so I vote for a clear reject.",3: Clear rejection,2,0,1,1,0,0,"1-+ the paper is clearly written and easy to follow
 + the dataset seems to be carefully generated and is large.~~~2,3-- The authors do not clearly state their methodology, including the concrete architecture of the transformer-based model, and the training loss for optimizing the model. As shown in the experiments, the accuracy of the proposed model is much higher than the baseline, but it is not clear what the major reason is, and why.
 - As the dataset contains about 50 million samples, and only 10000 of them are held out for test and validation, which means the training dataset contains sufficient data and the result could just be overfitting. Besides, the authors do not describe clearly how they generate the dataset and what is the problem distribution. For some distribution (e.g., those with smaller variance), maybe 50 million is large enough and there won't be a generalization issue. As a well-known fact that neural network has universal approximation ability, it is not surprising that it can learn to predict the mathematical properties given enough data. It will be better if the authors could show a '#training sample VS test accuracy' curve to show how the method behaves differently given different numbers of training samples.",,,"1-the paper is clearly written and easy to follow~~~1-the dataset seems to be carefully generated and is large.~~~2,3-As the dataset contains about 50 million samples, and only 10000 of them are held out for test and validation, which means the training dataset contains sufficient data and the result could just be overfitting. Besides, the authors do not describe clearly how they generate the dataset and what is the problem distribution. For some distribution (e.g., those with smaller variance), maybe 50 million is large enough and there won't be a generalization issue. As a well-known fact that neural network has universal approximation ability, it is not surprising that it can learn to predict the mathematical properties given enough data. It will be better if the authors could show a '#training sample VS test accuracy' curve to show how the method behaves differently given different numbers of training samples.","1-<the paper is clearly written and easy to follow>~~~2,3< It will be better if the authors could show a '#training sample VS test accuracy' curve to show how the method behaves differently given different numbers of training samples.>",0.4,0.4,0
170KJ-xfkY,KDD.org/2023/Workshop/epiDAMIK/Paper5/-/Official_Review,"The paper proposes and implements a framework for fine-grained estimation of vaccination rates across geographical locations, vaccine holdouts, and the behavior of vaccine holdouts over time. The authors leverage a combination of search engine query data, aggregate vaccination rates, census data, and news reliability ratings (i.e., Newsguard) for their method. This is a particularly challenging problem due lags in vaccination reporting and self-reporting biases, especially among holdouts. The authors demonstrate that their vaccine intent classifier performs well and correlates with CDC vaccination rates, and conduct a fine-grained analysis of concerns among vaccine holdouts over time. 

The real-world impact and applicability of this paper is obvious to me. The authors select a very topical and compelling area (COVID-19 vaccination hesitancy) as well. Although my experience is primarily computational, the results seem grounded in vaccine policymaking objectives/priorities as well. This work further provides a template that could be potentially adapted to other policy rollouts both retrospectively (e.g., ACA rollout) and the future, provided that the requisite data sources are available.

The comparison of query data between different sources (Bing vs. Google) also addressed my biggest concern — i.e., how representative is the population studied. I also found the breakdowns of vaccine intent by demographic to be very compelling (Fig. 6c, and A5).

A few questions about the method:
* Since there are so many steps, the pipeline for generating vaccine intent labels seems susceptible to error propagation (i.e., if there is a systematic bias in the human annotators, or earlier in the pipeline) since it depends on the quality of data collected— what checks, in addition to those mentioned in the paper (some human evaluation & comparison of Google vs. Bing query data), were done for systematic biases/other pitfalls at each stage of the pipeline? 
* It is slightly unclear to me how negative vaccine intent examples were labeled. Is this based on the human annotation method in Sec. 3.2 (i.e., <3 positive annotations), followed by GNN-based label-propagation + spies? What if we label vaccine intent using a simple majority vote method (i.e., 2-1 is sufficient) at the human annotator phase? Are queries that have nothing to do with COVID-19 or vaccinations ever included as negative examples?

""¨Some further questions about the results:
* In Fig. 6a, some counties are shown in white. Is this because the sample size is too small to generate an estimate of vaccine intent?
The authors choose Newsguard as a provider of news reliability ratings; however, such ratings are inherently dependent on the rating provider's specific methodology (i.e., who decides who is more reliable in an increasingly polarized news environment). Are there alternate providers of trust ratings, and are the results robust to such changes?
* How were the URL clusters validated? How was model selection (i.e., Louvain over LDA) performed? What is the definition of a ""remarkably coherent cluster?"" While all of the results look believable, I would have liked to see some measurement of cluster quality here (although this is difficult to do objectively) in addition to the qualitative analysis. Or, is there a human-annotator based way to partially validate these clusters?
* I don't know that ""Holdouts appear like early adopters"" is the correct framing towards the end of Sec. 5 — I would expect 7d to look much flatter (vertically) if that were the case, which is true for a few of the bars, but instead I mostly notice the reversal. So it seems like the correct conclusion is that some holdouts' concerns dramatically shift w.r.t. early adopters at some point, while others converge towards early adopters' concerns. The reversal trend is probably the most interesting piece in my opinion. 

Additional breakdowns of the results that I would find interesting:
* Stratification by area deprivation index, tribal vs. non-tribal, rural vs. urban (Pop/sq. m. is a proxy), access to healthcare (e.g., # of pharmacies offering the vaccine per capita/within 1h)  

I also wanted to raise a potential ethical consideration for future work — due to the cross-platform aggregation of data required, the potential for privacy violations due to invasive behavioral interventions or discrimination should be considered in my opinion — for example, targeting specific users for misinformation, vaccine providers/pharmacies engaging in implicit adverse selection by targeting specific segments, or discriminatory labor practices based on vaccine status. One could replace the word ""vaccine"" with ""health"" for similar studies on health policy as well. 

Since this study largely consists of retrospective data analysis, the risk to users' privacy is very small at this stage. While I think the authors exercised due diligence in data ethics via IRB approval, anonymization, dissociation from specific user accounts/profiles, ZIP-level granularity, and ensuring no linkage to other products is possible, I am wondering about the potential for actors that do not exercise the same standards of diligence as the authors to harm users' privacy.  I.e., could a bad actor copy this code and engage in behavioral interventions/discriminatory practices, and what safeguards, computational, legal, or otherwise, exist to mitigate any such threats? 

Overall, I think the authors did develop a rigorous and well-motivated method for classifying vaccine intent via a multi-stage pipeline featuring regex queries, URL identification via a combination of PPR, human annotation, a GNN, and the Spy technique from PU learning. The fine-grained analysis of the model's predictions then provide insights into vaccine hesitancy rates, and how concerns of vaccine holdouts change over time. I find that this is already a well-motivated, clear, and well-written computational study of vaccination policy, and addressing the above would simply strengthen the work further in my opinion.", how representative is the population studied. I also found the breakdowns of vaccine intent by demographic to be very compelling (Fig. 6c,2,0,1,0,0,0,"1,2,3-Overall, I think the authors did develop a rigorous and well-motivated method for classifying vaccine intent via a multi-stage pipeline featuring regex queries, URL identification via a combination of PPR, human annotation, a GNN, and the Spy technique from PU learning. The fine-grained analysis of the model's predictions then provide insights into vaccine hesitancy rates, and how concerns of vaccine holdouts change over time. I find that this is already a well-motivated, clear, and well-written computational study of vaccination policy, and addressing the above would simply strengthen the work further in my opinion.",,,"[[Very thorough, appropriate encouragement and acknowledgement, and plent of specfic and constructive feedback. A clear 0, by our definitions.]]","1-<Overall, I think the authors did develop a rigorous and well-motivated method for classifying vaccine intent>",0.6,0.2,0
1WxF-dvBPw,MIDL.io/2020/Conference/Paper161/-/Official_Review,"Pros:
* The segmentation output from the DeepMedic framework was corrected with post-processing, such as connected component analysis and hole-filling.

* The median dice of the reported method show improved performance over two manual graders. The correlation of lesion volumes between the human graders and the CNN-based segmentation was statistically non-significant.

*Further, the authors have performed extensive statistical analysis to justify the significance of the method.
  
Minor comments:
* Do NCCT datasets contain 272 samples (not dataset)? Are 204 samples (not datasets) used for training?

* In section 3, No significant difference ''' ""were found"" is repeated twice.",3: Weak accept,1,1,1,0,0,0,,,,,,0.4,0.4,0
2DD8_PadF,MIDL.io/2020/Conference/Paper277/-/Official_Review,"In the proposed approach, the authors used a fully convolutional network to localize intervertebral discs in MR images. The proposed approach has a number of serious drawbacks. 
(1) The proposed approached uses 2D images as the input, that is generated by the average of the six middle slices. This limits the scope of the method, due to the assumption that all centres of intervertebral discs are located in close proximity around the middle slice. It is also not clear what the slice thickness is and thus how the image generated by averaging middle slices looks like.
(2) In the preprocessing step, the 2D image is straightened according to the spinal cord centreline. How is the centreline extracted? If the centreline has been already extracted finding the centres of intervertebral discs and vertebral bodies are greatly simplified and can be done with a variety of approaches that do not require the use of ML-based method.
(3) The term ""labelling"" of the intervertebral disc might not be correctly used in this work. The proposed network does not distinguish intervertebral disks, but only generates the centres of visible intervertebral disks in the images. The term ""localization"" should be better.
(4) There is at least one workshop each year at MICCAI that is combined with a challenge dedicated to labelling and segmentation of spine structures. Vertebral body or intervertebral disk localization and labelling is usually part of each completion. Authors should compare their methods with the SOTA method presented in these challenges. Moreover, the CSI workshop at MICCAI 2015 was dedicated to localization and segmentation of intervertebral disks from 3D T2 MRI data. "," but only generates the centres of visible intervertebral disks in the images. The term ""localization"" should be better.",1,1,2,1,1,0,,The proposed approach has a number of serious drawbacks.,,,,0.3,1,1
3F3SczScdhI,NeurIPS.cc/2022/Workshop/nCSI/Paper4/-/Official_Review,"### Summary
The paper proposes an object-centric approach to tackle the tasks in the Abstraction and Reasoning Corpus. Their approach consists of two stages, parsing the task's images to graph representations and a constraint-guided search to construct operations to solve the task.   In the experimental evaluation, the introduced approach is compared to a corresponding Kaggle Challenge's first-place solution.  ""¨


### Strength
The introduced object-centric approach is well-described and easy to understand.
The experimental evaluation is designed to analyze the object-centric tasks. To this end, a subset of the ARC was extracted and separated into different categories.


### Weaknesses
- However, I'm missing a deeper discussion on the benefit of an object-centric solution. The authors mention that ARGA is performing better than the baseline on object movement tasks but then focus on why it performs worse on the others.

The authors highlight the efficiency of their approach and state that their methods solution space may not be expressive enough. 
Could a more expressive DSL lead to decreased efficiency?

Unfortunately, the evaluation lacks appropriate cross-validation.

Furthermore, related object-centric work is missing. Especially I would be interested in a discussion of other object-centric approaches which could be used to extend the introduced approach beyond the ARC.


### Minor
Typo Line 9: demonstrate
Typo Line 141: For each node, we
Typo Line 174: To further analyze the performance of ARGA, we ","1: Insufficient workshop paper, Reject",2,1,1,1,0,0,,,,"1-The introduced object-centric approach is well-described and easy to understand.~~~2,3-However, IÃ¢â‚¬â„¢m missing a deeper discussion on the benefit of an object-centric solution. The authors mention that ARGA is performing better than the baseline on object movement tasks but then focus on why it performs worse on the others.~~~2,3-The authors highlight the efficiency of their approach and state that their methods solution space may not be expressive enough. 
 Could a more expressive DSL lead to decreased efficiency?~~~2,3-Unfortunately, the evaluation lacks appropriate cross-validation.~~~2,3-Furthermore, related object-centric work is missing. Especially I would be interested in a discussion of other object-centric approaches which could be used to extend the introduced approach beyond the ARC.~~~2,3-Typo Line 9: demonstrate~~~2,3-Typo Line 141: For each node, we~~~2,3-Typo Line 174: To further analyze the performance of ARGA, we","1-<The introduced object-centric approach is well-described and easy to understand.> ~~~ 2,3-< Especially I would be interested in a discussion of other object-centric approaches which could be used to extend the introduced approach beyond the ARC.>",0.4,0.6,1
3If4ranM5Cb,ICLR.cc/2021/Conference/Paper830/-/Official_Review,"**Summary**
The paper suggests improving the training run-time of neural ODEs when using the adjoint sensitivity method by relaxing the computational steps of $a_{\\theta}$ and $a_{t}$. 

**Significance**
There are a couple of major issues about the content and the significance of the results presented in this paper:
- While the paper is beautifully organized and easy to follow, I consider the scientific contributions of the work to be limited.
- In the CNF setting, Table 2, I do not see a major improvement in NFE. Why is this the case? 
- All neural ODEs have been tested with a single type of ODE solver. I strongly suggest the authors investigate other solvers to see how a model's performance changes when applying the proposed method? 
- Deriving a theoretical ground for the reduction in time complexity and its effect on high- and low-frequency time series modeling performance. I suspect the proposed method to speed up the training of neural ODEs would have a significant effect on the performance of time series modeling with high-frequency fluctuations. Could the authors comment on this please?

This paper is a 10 out of 10 as a blog post for the users of the adjoint method for training neural ODEs. I believe that the contribution of this paper is limited to a software hack that would benefit the community best if presented as a blog post. 

**Clarity**
An extremely clear submission. I greatly appreciate the authors' effort in preparing such a clear presentation. 

**Originality**
The paper is an original contribution. 


",5: Marginally below acceptance threshold,1,0,0,0,1,0,"While the paper is beautifully organized and easy to follow, I consider the scientific contributions of the work to be limited. ~~~ An extremely clear submission. I greatly appreciate the authors' effort in preparing such a clear presentation.",An extremely clear submission. I greatly appreciate the authors' effort in preparing such a clear presentation.,,,,0.6,0.2,0
3zjB9r17w_B,graphicsinterface.org/Graphics_Interface/2021/Conference/Second_Cycle/Paper38/-/Official_Review,"### Summary

The paper proposes careful enhancements to an imaging matching pipeline consisting of:
1) applying noise removal to get a cleaner patch dataset by taking the Phototourism dataset and removing images with low confidence and sampling points that has been track more than 5 times 
2) improvements to the network: improved feature extraction using HardNet by using a quadratic hinge triplet (QHT), and improved constraints and matching to OANet 
3) Set of experiments and ablation study on the Phototourism Image Matching challenge at CVPR 2020


### Strengths
- The proposed pipeline is able to achieve strong performance (1st place in the CVPR 2020 Image Matching Challenges Workshop Track 1) 
- The strong performance results suggests that the improvements proposed by the work (while minor), was carefully considered and would be of potential interest and value to the community

### Weaknesses

- The main weakness of the work is the extremely poor writing quality.  There is spelling, grammar, and wording issues throughout (see Comments for some examples).  The writing is sufficiently poor that it makes the specifics of the proposed method difficult to understand, and aspects of the experiments hard to interpret.  

- Due to the poor writing, some details are also not made clear.  For instance, the Phototourism benchmark has leaderboards for variations of unlimited/restricted keyboards and different sized descriptors.  It is not specified that the work is number one on the leaderboard for the unlimited keypoints and standard descriptors.  In addition, the work fails to discuss and reference the other works that appears in Table 3 (Luca et al, Jiahui et al, Ximin et al are not included in the reference).  It's unclear what works these refers to (Luca et al, should be Cavalli et al, AdaLAM: Revisiting Handcrafted Outlier Detection, 2020)

- It's not clear what the FRP95 metric is that is show in Table 2, Figure 6.  Note that several metrics described in section 4.1 (%Rep., %M.S., %mATE, %FPT) does not appear to be reported on in the paper.


### Comments

Some examples of misspellings, grammar and other wording issues.  A full editing pass is recommended.

Abstract
- ""Traditional local features"" => ""traditional local features""
- ""suffer the noise"" => ""suffer from noise""
- ""less training dataset"" => ""less training data""

Section 1: Introduction
- ""Phtotour"" => ""Phototour""

Section 2: Related work
- ""overpass"" => ""surpass""
- ""pointNet"" => ""PointNet""
- ""irrelevant transformation problem"" =>  ??
- ""we consider improving the pipeline with respect to the following aspects"" => ""we propose improving the pipeline as follows""

Section 3: Method
- Figure3: ""Ourlier"" => ""Outlier""
- ""hypermeters"" => ""hyperparameters""
- Section 3.1.2 is poorly written. I can't really understand what is meant by: ""in which 25% with the least 3d points"" or ""we sample the 3d points that have been tracked more than 5 times, and only keep the 3d points which are tracked 5 times"".  Also, what is NCC? 

- Section 3, 3.2, 3.3 should include citations to the prior work (HardNet[8], [OANet[9], and CNe [12])
- ""on the basis of CNe"" => ""on top of the CNE network [12]""
- ""with D-dimensional"" => ""with D-dimensional features""
- ""rigorous to learn"" => unclear what this means

Section 4 (Experiments)
- Table 2: ""HartNet"" => ""HardNet""
- Section 4.3: ""pret rained"" => ""pretrained""

References should be proofread
- Not all authors are included (et, al. used after 3rd author)
- Poorly formatted, with [J]. or [C]// before publication venues
",5: Marginally below acceptance threshold,1,1,2,2,2,0,,"The main weakness of the work is the extremely poor writing quality.~Due to the poor writing, some details are also not made clear.~The writing is sufficiently poor that it makes the specifics of the proposed method difficult to understand, and aspects of the experiments hard to interpret.","The main weakness of the work is the extremely poor writing quality. ~~~ The writing is sufficiently poor that it makes the specifics of the proposed method difficult to understand, and aspects of the experiments hard to interpret. ~~~ Due to the poor writing, some details are also not made clear.",The main weakness of the work is the extremely poor writing quality.,,0.3,1.4,2
4tAeSCEgvc,MIDL.io/2020/Conference/Paper41/-/Official_Review,"Although I disagree with the claim of novelty of this method, I find the paper interesting and appropriate for MIDL presentation. I think this approach has the merit of showing a practical application where the use of LSTMs to incorporate spatial consistency for volumetric problems is appropriate. This idea has been previously used for segmentation and, as far as I know, pre-trained models were not leveraged in that work. Here, the authors propose to re-use imagenet pre-trained models, trained with slice-wise labels, and enforce consistency over volumes through a bidirectional LSTM. This has a series of advantages such as reduced compute resources needed for training and the ability of using pre-trained models from 2D applications, which are very common in computer vision. 

The description of datasets and methods is pretty accurate. The method is trained on the RSNA dataset published on Kaggle and tested on the GQ500 dataset. The results are convincing and they reveal the merits of the model. The model can in fact compete with methods making use of ensemble prediction and obtain comparable if not superior results. 

Table 1 could be omitted, so that Table 2 would fit within 3 pages. 

I would like to accept this paper. My rating is between weak accept (because of the limited novelty) and strong accept. ",4: Strong accept,1,0,0,0,1,0,"Although I disagree with the claim of novelty of this method, I find the paper interesting and appropriate for MIDL presentation",,,,,0.6,0.2,0
5Q8B6epMMG,ICLR.cc/2023/Workshop/RRL/Paper24/-/Official_Review,"# Summary

This paper presents AIME, which is an imitation learning method that learns a world model from past experience, then uses that model to infer actions from an observation-only demonstration.

--- 

## Comments / Questions
-  AIME can be used to leverage a world model which is trained on data from multiple tasks
- It is not clear to me what benefit AIME has over BCO and model-based reinforcement learning approaches.  I think the authors could take some time in Section 3 to lay out the differences explicitly.
- The task used for evaluation is relatively simple, so it would be nice to see how AIME compares to other algorithms in more complex settings where it is extremely difficult to learn a world model
- Could mathematical notation in Section 3 be condensed?
","2: Marginally above acceptance threshold, paper has no serious flaws but may have limited scope or significance",2,1,1,1,1,1,,,,[[Not particularly encouraging.]],,1,1,1
6lXHQTqX-Cp,NeurIPS.cc/2022/Workshop/HITY/Paper12/-/Official_Review,"This paper introduces a simple algorithms to form trajectory ensembles from multiple checkpoints. To this, end multiple checkpoints are chosen from which the ensemble is computed. Interestingly, the most important checkpoints are not necessarily the best performing ones in terms of accuracy. Also, the gain from several independent trajectories is limited. 
The writing is reasonably clear and fits the workshop. Accept.",1: accept,2,1,0,0,1,0,,,,[[Very similar to the above (r1gDTrGIKE) in that it is way too short (fails to be specific) but is generally encouragingâ€¦or maybe it's just not discouragingâ€¦ I wouldn't think of this as an ideal review by any means.]],1-<The writing is reasonably clear and fits the workshop. >,0.4,0.4,0
